Name,Right Ascension,Declination,Apparent Magnitude,Constellation
Alpha Andromedae,00h 08m 23.17s,+29° 05′ 27.0″,2.07,Andromeda
Beta Andromedae,01h 09m 43.80s,+35° 37′ 15.0″,2.07,Andromeda
Gamma Andromedae,02h 03m 53.92s,+42° 19′ 47.5″,2.1,Andromeda
Delta Andromedae,00h 39m 19.60s,+30° 51′ 40.4″,3.27,Andromeda
Andromeda Galaxy,00h 42m 44.31s,+41° 16′ 09.4″,3.44,Andromeda
51 Andromedae,01h 37m 59.50s,+48° 37′ 42.6″,3.59,Andromeda
Omicron Andromedae,23h 01m 55.25s,+42° 19′ 33.5″,3.62,Andromeda
Lambda Andromedae,23h 37m 33.71s,+46° 27′ 33.0″,3.81,Andromeda
Mu Andromedae,00h 56m 45.10s,+38° 29′ 57.3″,3.86,Andromeda
Zeta Andromedae,00h 47m 20.39s,+24° 16′ 02.6″,4.08,Andromeda
Upsilon Andromedae,01h 36m 47.98s,+41° 24′ 23.0″,4.1,Andromeda
Kappa Andromedae,23h 40m 24.44s,+44° 20′ 02.3″,4.15,Andromeda
Phi Andromedae,01h 09m 30.12s,+47° 14′ 30.6″,4.26,Andromeda
Iota Andromedae,23h 38m 08.18s,+43° 16′ 05.1″,4.29,Andromeda
Pi Andromedae,00h 36m 52.84s,+33° 43′ 09.7″,4.34,Andromeda
Epsilon Andromedae,00h 38m 33.50s,+29° 18′ 44.5″,4.34,Andromeda
Eta Andromedae,00h 57m 12.43s,+23° 25′ 03.9″,4.4,Andromeda
Sigma Andromedae,00h 18m 19.71s,+36° 47′ 07.2″,4.51,Andromeda
Nu Andromedae,00h 49m 48.83s,+41° 04′ 44.2″,4.53,Andromeda
7 Andromedae,23h 12m 32.92s,+49° 24′ 21.5″,4.53,Andromeda
Theta Andromedae,00h 17m 05.54s,+38° 40′ 54.0″,4.61,Andromeda
3 Andromedae,23h 04m 10.83s,+50° 03′ 06.1″,4.64,Andromeda
65 Andromedae,02h 25m 37.40s,+50° 16′ 43.2″,4.73,Andromeda
58 Andromedae,02h 08m 29.15s,+37° 51′ 33.1″,4.78,Andromeda
8 Andromedae,23h 17m 44.62s,+49° 00′ 55.0″,4.82,Andromeda
Omega Andromedae,01h 27m 39.09s,+45° 24′ 25.0″,4.83,Andromeda
Gamma Andromedae,02h 03m 54.70s,+42° 19′ 51.0″,4.84,Andromeda
60 Andromedae,02h 13m 13.34s,+44° 13′ 54.1″,4.84,Andromeda
Xi Andromedae,01h 22m 20.39s,+45° 31′ 43.5″,4.87,Andromeda
Tau Andromedae,01h 40m 34.80s,+40° 34′ 37.6″,4.96,Andromeda
HD 10307,01h 41m 46.52s,+42° 36′ 49.7″,4.96,Andromeda
Psi Andromedae,23h 46m 02.04s,+46° 25′ 13.0″,4.97,Andromeda
22 Andromedae,00h 10m 19.24s,+46° 04′ 20.2″,5.01,Andromeda
Chi Andromedae,01h 39m 21.02s,+44° 23′ 10.1″,5.01,Andromeda
41 Andromedae,01h 08m 00.72s,+43° 56′ 32.1″,5.04,Andromeda
2 Andromedae,23h 02m 36.34s,+42° 45′ 28.1″,5.09,Andromeda
V428 Andromedae,00h 36m 46.47s,+44° 29′ 18.6″,5.14,Andromeda
Rho Andromedae,00h 21m 07.23s,+37° 58′ 07.3″,5.16,Andromeda
64 Andromedae,02h 24m 24.89s,+50° 00′ 23.9″,5.19,Andromeda
28 Andromedae,00h 30m 07.34s,+29° 45′ 06.1″,5.2,Andromeda
14 Andromedae,23h 31m 17.20s,+39° 14′ 11.0″,5.22,Andromeda
49 Andromedae,01h 30m 06.10s,+47° 00′ 26.6″,5.27,Andromeda
32 Andromedae,00h 41m 07.20s,+39° 27′ 31.2″,5.3,Andromeda
4 Andromedae,23h 07m 39.28s,+46° 23′ 14.3″,5.3,Andromeda
6 Persei,02h 13m 36.02s,+51° 03′ 58.4″,5.31,Andromeda
62 Andromedae,02h 19m 16.85s,+47° 22′ 48.0″,5.31,Andromeda
18 Andromedae,23h 39m 08.35s,+50° 28′ 18.3″,5.35,Andromeda
55 Andromedae,01h 53m 17.35s,+40° 43′ 47.3″,5.42,Andromeda
11 Andromedae,23h 19m 29.79s,+48° 37′ 30.7″,5.44,Andromeda
36 Andromedae,00h 54m 58.02s,+23° 37′ 42.4″,5.46,Andromeda
15 Andromedae,23h 34m 37.55s,+40° 14′ 11.6″,5.55,Andromeda
